Model	Marker1	Marker2	a	b	c	d	OR	Lower_CI	Upper_CI	chi_square	chi_pvalue
aa*bb_vs_other	rs5931272	rs1019763	5	45	1	50	5.555555	0.625177	49.368713	1.658683	0.197781
aa*bb_vs_other	rs5931272	rs474586	5	45	1	50	5.555555	0.625177	49.368713	1.658683	0.197781
aa*bb_vs_other	rs5931272	rs70591	19	31	15	35	1.430107	0.622443	3.285774	0.40107	0.526537
aa*bb_vs_other	rs5931272	rs615768	19	31	15	35	1.430107	0.622443	3.285774	0.40107	0.526537
aa*bb_vs_other	rs5931272	rs1160945	18	32	15	35	1.3125	0.56874	3.028897	0.180914	0.670589
aa*bb_vs_other	rs5931272	rs1706122	9	41	5	45	1.97561	0.61177	6.379904	0.747508	0.387266
aa*bb_vs_other	rs5931272	rs2251299	16	34	11	39	1.668449	0.681816	4.082804	0.811771	0.367597
aa*bb_vs_other	rs5931272	rs2796476	2	48	4	46	0.479167	0.083691	2.743442	0.177305	0.6737
aa*bb_vs_other	rs5931272	rs3341653	2	48	3	47	0.652778	0.104309	4.085148	0	1
aa*bb_vs_other	rs5931272	rs3886830	14	36	12	38	1.231481	0.502824	3.016061	0.051975	0.819661
aa*bb_vs_other	rs5931272	rs4432007	6	44	8	42	0.715909	0.228997	2.238131	0.083056	0.773197
aa*bb_vs_other	rs5931272	rs4977184	3	47	5	45	0.574468	0.12965	2.545428	0.13587	0.712422
aa*bb_vs_other	rs5931272	rs5522361	4	46	7	43	0.534162	0.146022	1.954008	0.40858	0.522691
aa*bb_vs_other	rs5931272	rs6067538	4	46	7	43	0.534162	0.146022	1.954008	0.40858	0.522691
aa*bb_vs_other	rs5931272	rs6612715	4	46	7	43	0.534162	0.146022	1.954008	0.40858	0.522691
aa*bb_vs_other	rs5931272	rs7157892	4	46	7	43	0.534162	0.146022	1.954008	0.40858	0.522691
aa*bb_vs_other	rs5931272	rs7703069	4	46	7	43	0.534162	0.146022	1.954008	0.40858	0.522691
aa*bb_vs_other	rs5931272	rs8248246	4	46	7	43	0.534162	0.146022	1.954008	0.40858	0.522691
aa*bb_vs_other	rs5931272	rs8793423	4	46	7	43	0.534162	0.146022	1.954008	0.40858	0.522691
aa*bb_vs_other	rs5931272	rs9338600	6	44	5	45	1.227273	0.348998	4.315779	0	1
aa*bb_vs_other	rs5931272	rs9883777	5	45	2	48	2.666667	0.492282	14.445203	0.614439	0.433121
aa*bb_vs_other	rs5931272	rs10428954	5	45	5	45	1	0.270721	3.693841	0.111111	0.738883
aa*bb_vs_other	rs5931272	rs10974131	5	45	5	45	1	0.270721	3.693841	0.111111	0.738883
aa*bb_vs_other	rs5931272	rs11519308	5	45	5	45	1	0.270721	3.693841	0.111111	0.738883
aa*bb_vs_other	rs5931272	rs12064485	5	45	5	45	1	0.270721	3.693841	0.111111	0.738883
aa*bb_vs_other	rs5931272	rs12609662	5	45	5	45	1	0.270721	3.693841	0.111111	0.738883
aa*bb_vs_other	rs5931272	rs13154839	5	45	5	45	1	0.270721	3.693841	0.111111	0.738883
aa*bb_vs_other	rs5931272	rs13700016	12	38	13	37	0.898785	0.363288	2.223624	0	1
aa*bb_vs_other	rs5931272	rs14245193	5	45	5	45	1	0.270721	3.693841	0.111111	0.738883
aa*bb_vs_other	rs5931272	rs14790370	11	39	11	39	1	0.388176	2.576152	0.058275	0.809243
aa*bb_vs_other	rs6546473	rs739259	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs798149	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs6546473	rs845016	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs472920	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs133860	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs9839873	2	48	1	49	2.041667	0.179154	23.267157	0	1
aa*bb_vs_other	rs6546473	rs1484127	12	38	5	45	2.842105	0.918901	8.790462	2.551382	0.110198
aa*bb_vs_other	rs6546473	rs1510189	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs6546473	rs6426327	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs6546473	rs3818562	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs6546473	rs7660805	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs6546473	rs6982811	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs6546473	rs11249206	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs9363764	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs2032088	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs348937	15	35	8	42	2.25	0.85442	5.925075	2.03275	0.153942
aa*bb_vs_other	rs6546473	rs1467387	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs4742386	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs6546473	rs2857639	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs1495031	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs1510480	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs7746156	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs1945975	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs966367	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs877309	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs4331560	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs10796216	2	48	1	49	2.041667	0.179154	23.267157	0	1
aa*bb_vs_other	rs6546473	rs1040870	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs10936224	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs6546473	rs213028	12	38	7	43	1.93985	0.693055	5.429605	1.039636	0.307906
aa*bb_vs_other	rs6546473	rs654498	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs13369115	15	35	8	42	2.25	0.85442	5.925075	2.03275	0.153942
aa*bb_vs_other	rs6546473	rs10033147	2	48	1	49	2.041667	0.179154	23.267157	0	1
aa*bb_vs_other	rs6546473	rs3936238	15	35	8	42	2.25	0.85442	5.925075	2.03275	0.153942
aa*bb_vs_other	rs6546473	rs1520670	2	48	1	49	2.041667	0.179154	23.267157	0	1
aa*bb_vs_other	rs6546473	rs6991394	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs2208123	15	35	8	42	2.25	0.85442	5.925075	2.03275	0.153942
aa*bb_vs_other	rs6546473	rs10774834	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs5936512	9	41	2	48	5.268293	1.076616	25.779778	3.677222	0.055161
aa*bb_vs_other	rs6546473	rs6626309	15	35	8	42	2.25	0.85442	5.925075	2.03275	0.153942
aa*bb_vs_other	rs6546473	rs5987737	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs715359	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs2385226	15	35	8	42	2.25	0.85442	5.925075	2.03275	0.153942
aa*bb_vs_other	rs6546473	rs11034952	15	35	8	42	2.25	0.85442	5.925075	2.03275	0.153942
aa*bb_vs_other	rs6546473	rs1414097	2	48	1	49	2.041667	0.179154	23.267157	0	1
aa*bb_vs_other	rs6546473	rs951295	12	38	5	45	2.842105	0.918901	8.790462	2.551382	0.110198
aa*bb_vs_other	rs6546473	rs10882854	15	35	8	42	2.25	0.85442	5.925075	2.03275	0.153942
aa*bb_vs_other	rs6546473	rs10846239	2	48	1	49	2.041667	0.179154	23.267157	0	1
aa*bb_vs_other	rs6546473	rs6471533	2	48	1	49	2.041667	0.179154	23.267157	0	1
aa*bb_vs_other	rs6546473	rs5926356	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs5381179	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs4836002	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs6546473	rs4290825	15	35	8	42	2.25	0.85442	5.925075	2.03275	0.153942
aa*bb_vs_other	rs6546473	rs3745648	2	48	1	49	2.041667	0.179154	23.267157	0	1
aa*bb_vs_other	rs6546473	rs3200471	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs6546473	rs2655294	2	48	1	49	2.041667	0.179154	23.267157	0	1
aa*bb_vs_other	rs6546473	rs2110117	15	35	8	42	2.25	0.85442	5.925075	2.03275	0.153942
aa*bb_vs_other	rs6546473	rs1564940	14	36	8	42	2.041667	0.769252	5.418776	1.456877	0.227428
aa*bb_vs_other	rs6546473	rs1019763	4	46	1	50	4.347826	0.468623	40.33857	0.883936	0.347126
aa*bb_vs_other	rs6546473	rs474586	4	46	1	50	4.347826	0.468623	40.33857	0.883936	0.347126
aa*bb_vs_other	rs6546473	rs70591	14	36	8	42	2.041667	0.769252	5.418776	1.456877	0.227428
aa*bb_vs_other	rs6546473	rs615768	14	36	8	42	2.041667	0.769252	5.418776	1.456877	0.227428
aa*bb_vs_other	rs6546473	rs1160945	14	36	8	42	2.041667	0.769252	5.418776	1.456877	0.227428
aa*bb_vs_other	rs6546473	rs1706122	8	42	3	47	2.984127	0.742782	11.988736	1.634321	0.201106
aa*bb_vs_other	rs6546473	rs2251299	9	41	5	45	1.97561	0.61177	6.379904	0.747508	0.387266
aa*bb_vs_other	rs6546473	rs2796476	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs3341653	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs6546473	rs3886830	12	38	6	44	2.315789	0.792889	6.763722	1.693767	0.193105
aa*bb_vs_other	rs6546473	rs4432007	5	45	3	47	1.740741	0.392861	7.713101	0.13587	0.712422
aa*bb_vs_other	rs6546473	rs4977184	3	47	3	47	1	0.191931	5.210198	0.177305	0.6737
aa*bb_vs_other	rs6546473	rs5522361	4	46	2	48	2.086957	0.364506	11.948754	0.177305	0.6737
aa*bb_vs_other	rs6546473	rs6067538	4	46	2	48	2.086957	0.364506	11.948754	0.177305	0.6737
aa*bb_vs_other	rs6546473	rs6612715	4	46	2	48	2.086957	0.364506	11.948754	0.177305	0.6737
aa*bb_vs_other	rs6546473	rs7157892	4	46	2	48	2.086957	0.364506	11.948754	0.177305	0.6737
aa*bb_vs_other	rs6546473	rs7703069	4	46	2	48	2.086957	0.364506	11.948754	0.177305	0.6737
aa*bb_vs_other	rs6546473	rs8248246	4	46	2	48	2.086957	0.364506	11.948754	0.177305	0.6737
aa*bb_vs_other	rs6546473	rs8793423	4	46	2	48	2.086957	0.364506	11.948754	0.177305	0.6737
aa*bb_vs_other	rs6546473	rs9338600	4	46	4	46	1	0.235762	4.24156	0.13587	0.712422
aa*bb_vs_other	rs6546473	rs9883777	3	47	2	48	1.531915	0.244789	9.586875	0	1
aa*bb_vs_other	rs6546473	rs10428954	3	47	4	46	0.734043	0.155614	3.462529	0	1
aa*bb_vs_other	rs6546473	rs10974131	3	47	4	46	0.734043	0.155614	3.462529	0	1
aa*bb_vs_other	rs6546473	rs11519308	3	47	4	46	0.734043	0.155614	3.462529	0	1
aa*bb_vs_other	rs6546473	rs12064485	3	47	4	46	0.734043	0.155614	3.462529	0	1
aa*bb_vs_other	rs6546473	rs12609662	3	47	4	46	0.734043	0.155614	3.462529	0	1
aa*bb_vs_other	rs6546473	rs13154839	3	47	4	46	0.734043	0.155614	3.462529	0	1
aa*bb_vs_other	rs6546473	rs13700016	7	43	7	43	1	0.323122	3.094806	0.083056	0.773197
aa*bb_vs_other	rs6546473	rs14245193	3	47	4	46	0.734043	0.155614	3.462529	0	1
aa*bb_vs_other	rs6546473	rs14790370	6	44	6	44	1	0.299304	3.341089	0.094697	0.758289
aa*bb_vs_other	rs739259	rs798149	13	37	21	29	0.485199	0.208333	1.13001	2.183601	0.139488
aa*bb_vs_other	rs739259	rs845016	9	41	12	38	0.695122	0.263391	1.834516	0.241109	0.623406
aa*bb_vs_other	rs739259	rs472920	10	40	16	34	0.53125	0.213233	1.323558	1.299376	0.254327
aa*bb_vs_other	rs739259	rs133860	10	40	16	34	0.53125	0.213233	1.323558	1.299376	0.254327
aa*bb_vs_other	rs739259	rs9839873	13	37	21	29	0.485199	0.208333	1.13001	2.183601	0.139488
aa*bb_vs_other	rs739259	rs1484127	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs739259	rs1510189	10	40	17	33	0.485294	0.195936	1.201976	1.826484	0.176543
aa*bb_vs_other	rs739259	rs6426327	10	40	17	33	0.485294	0.195936	1.201976	1.826484	0.176543
aa*bb_vs_other	rs739259	rs3818562	10	40	17	33	0.485294	0.195936	1.201976	1.826484	0.176543
aa*bb_vs_other	rs739259	rs7660805	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs739259	rs6982811	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs739259	rs11249206	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs739259	rs9363764	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs739259	rs2032088	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs739259	rs348937	3	47	5	45	0.574468	0.12965	2.545428	0.13587	0.712422
aa*bb_vs_other	rs739259	rs1467387	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs739259	rs4742386	13	37	21	29	0.485199	0.208333	1.13001	2.183601	0.139488
aa*bb_vs_other	rs739259	rs2857639	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs739259	rs1495031	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs739259	rs1510480	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs739259	rs7746156	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs739259	rs1945975	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs739259	rs966367	10	40	17	33	0.485294	0.195936	1.201976	1.826484	0.176543
aa*bb_vs_other	rs739259	rs877309	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs739259	rs4331560	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs739259	rs10796216	13	37	21	29	0.485199	0.208333	1.13001	2.183601	0.139488
aa*bb_vs_other	rs739259	rs1040870	11	39	19	31	0.460189	0.190938	1.109123	2.333333	0.12663
aa*bb_vs_other	rs739259	rs10936224	11	39	17	33	0.547511	0.225088	1.331784	1.240079	0.265456
aa*bb_vs_other	rs739259	rs213028	3	47	5	45	0.574468	0.12965	2.545428	0.13587	0.712422
aa*bb_vs_other	rs739259	rs654498	10	40	17	33	0.485294	0.195936	1.201976	1.826484	0.176543
aa*bb_vs_other	rs739259	rs13369115	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs739259	rs10033147	13	37	21	29	0.485199	0.208333	1.13001	2.183601	0.139488
aa*bb_vs_other	rs739259	rs3936238	2	48	5	45	0.375	0.069227	2.031357	0.614439	0.433121
aa*bb_vs_other	rs739259	rs1520670	13	37	21	29	0.485199	0.208333	1.13001	2.183601	0.139488
aa*bb_vs_other	rs739259	rs6991394	11	39	16	34	0.599359	0.24493	1.466671	0.811771	0.367597
aa*bb_vs_other	rs739259	rs2208123	2	48	2	48	1	0.135279	7.392135	0.260417	0.609834
aa*bb_vs_other	rs739259	rs10774834	11	39	17	33	0.547511	0.225088	1.331784	1.240079	0.265456
aa*bb_vs_other	rs739259	rs5936512	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs739259	rs6626309	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs739259	rs5987737	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs739259	rs715359	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs739259	rs2385226	2	48	2	48	1	0.135279	7.392135	0.260417	0.609834
aa*bb_vs_other	rs739259	rs11034952	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs739259	rs1414097	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs739259	rs951295	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs739259	rs10882854	3	47	5	45	0.574468	0.12965	2.545428	0.13587	0.712422
aa*bb_vs_other	rs739259	rs10846239	13	37	21	29	0.485199	0.208333	1.13001	2.183601	0.139488
aa*bb_vs_other	rs739259	rs6471533	13	37	21	29	0.485199	0.208333	1.13001	2.183601	0.139488
aa*bb_vs_other	rs739259	rs5926356	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs739259	rs5381179	9	41	16	34	0.466463	0.183185	1.187804	1.92	0.165857
aa*bb_vs_other	rs739259	rs4836002	13	37	21	29	0.485199	0.208333	1.13001	2.183601	0.139488
aa*bb_vs_other	rs739259	rs4290825	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs739259	rs3745648	13	37	21	29	0.485199	0.208333	1.13001	2.183601	0.139488
aa*bb_vs_other	rs739259	rs3200471	13	37	21	29	0.485199	0.208333	1.13001	2.183601	0.139488
aa*bb_vs_other	rs739259	rs2655294	13	37	21	29	0.485199	0.208333	1.13001	2.183601	0.139488
aa*bb_vs_other	rs739259	rs2110117	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs739259	rs1564940	4	46	6	44	0.637681	0.168488	2.413447	0.111111	0.738883
aa*bb_vs_other	rs739259	rs1019763	1	49	1	49	1	0.06081	16.444649	0.510204	0.475051
aa*bb_vs_other	rs739259	rs474586	1	49	1	49	1	0.06081	16.444649	0.510204	0.475051
aa*bb_vs_other	rs739259	rs70591	4	46	7	43	0.534162	0.146022	1.954008	0.40858	0.522691
aa*bb_vs_other	rs739259	rs615768	4	46	7	43	0.534162	0.146022	1.954008	0.40858	0.522691
aa*bb_vs_other	rs739259	rs1160945	4	46	7	43	0.534162	0.146022	1.954008	0.40858	0.522691
aa*bb_vs_other	rs739259	rs1706122	2	48	2	48	1	0.135279	7.392135	0.260417	0.609834
aa*bb_vs_other	rs739259	rs2251299	3	47	6	44	0.468085	0.11028	1.986799	0.4884	0.484642
aa*bb_vs_other	rs739259	rs2796476	11	39	13	37	0.802761	0.319799	2.015099	0.054825	0.814871
aa*bb_vs_other	rs739259	rs3341653	8	42	12	38	0.603175	0.222687	1.633774	0.5625	0.453255
aa*bb_vs_other	rs739259	rs3886830	8	42	8	42	1	0.34326	2.913245	0.074405	0.785028
aa*bb_vs_other	rs739259	rs4432007	6	44	6	44	1	0.299304	3.341089	0.094697	0.758289
aa*bb_vs_other	rs739259	rs4977184	3	47	3	47	1	0.191931	5.210198	0.177305	0.6737
aa*bb_vs_other	rs739259	rs5522361	5	45	6	44	0.814815	0.231708	2.865346	0	1
aa*bb_vs_other	rs739259	rs6067538	5	45	6	44	0.814815	0.231708	2.865346	0	1
aa*bb_vs_other	rs739259	rs6612715	5	45	6	44	0.814815	0.231708	2.865346	0	1
aa*bb_vs_other	rs739259	rs7157892	5	45	6	44	0.814815	0.231708	2.865346	0	1
aa*bb_vs_other	rs739259	rs7703069	5	45	6	44	0.814815	0.231708	2.865346	0	1
aa*bb_vs_other	rs739259	rs8248246	5	45	6	44	0.814815	0.231708	2.865346	0	1
aa*bb_vs_other	rs739259	rs8793423	5	45	6	44	0.814815	0.231708	2.865346	0	1
aa*bb_vs_other	rs739259	rs9338600	4	46	8	42	0.456522	0.128071	1.627322	0.852273	0.35591
aa*bb_vs_other	rs739259	rs9883777	3	47	8	42	0.335106	0.083412	1.346291	1.634321	0.201106
aa*bb_vs_other	rs739259	rs10428954	5	45	8	42	0.583333	0.176775	1.924923	0.353669	0.552043
aa*bb_vs_other	rs739259	rs10974131	5	45	8	42	0.583333	0.176775	1.924923	0.353669	0.552043
aa*bb_vs_other	rs739259	rs11519308	5	45	8	42	0.583333	0.176775	1.924923	0.353669	0.552043
aa*bb_vs_other	rs739259	rs12064485	5	45	8	42	0.583333	0.176775	1.924923	0.353669	0.552043
aa*bb_vs_other	rs739259	rs12609662	5	45	8	42	0.583333	0.176775	1.924923	0.353669	0.552043
aa*bb_vs_other	rs739259	rs13154839	5	45	8	42	0.583333	0.176775	1.924923	0.353669	0.552043
aa*bb_vs_other	rs739259	rs13700016	11	39	19	31	0.460189	0.190938	1.109123	2.333333	0.12663
aa*bb_vs_other	rs739259	rs14245193	5	45	8	42	0.583333	0.176775	1.924923	0.353669	0.552043
aa*bb_vs_other	rs739259	rs14790370	8	42	16	34	0.404762	0.154726	1.058852	2.686404	0.101208
aa*bb_vs_other	rs798149	rs845016	9	41	12	38	0.695122	0.263391	1.834516	0.241109	0.623406
aa*bb_vs_other	rs798149	rs472920	10	40	16	34	0.53125	0.213233	1.323558	1.299376	0.254327
aa*bb_vs_other	rs798149	rs133860	10	40	16	34	0.53125	0.213233	1.323558	1.299376	0.254327
aa*bb_vs_other	rs798149	rs9839873	15	35	25	25	0.428571	0.188665	0.973543	3.375	0.066193
aa*bb_vs_other	rs798149	rs1484127	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs798149	rs1510189	10	40	21	29	0.345238	0.141496	0.842353	4.675082	0.030603
aa*bb_vs_other	rs798149	rs6426327	10	40	21	29	0.345238	0.141496	0.842353	4.675082	0.030603
aa*bb_vs_other	rs798149	rs3818562	10	40	21	29	0.345238	0.141496	0.842353	4.675082	0.030603
aa*bb_vs_other	rs798149	rs7660805	12	38	22	28	0.401914	0.170725	0.946167	3.609626	0.057446
aa*bb_vs_other	rs798149	rs6982811	12	38	22	28	0.401914	0.170725	0.946167	3.609626	0.057446
aa*bb_vs_other	rs798149	rs11249206	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs798149	rs9363764	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs798149	rs2032088	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs798149	rs348937	5	45	7	43	0.68254	0.201224	2.315139	0.094697	0.758289
aa*bb_vs_other	rs798149	rs1467387	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs798149	rs4742386	15	35	25	25	0.428571	0.188665	0.973543	3.375	0.066193
aa*bb_vs_other	rs798149	rs2857639	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs798149	rs1495031	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs798149	rs1510480	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs798149	rs7746156	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs798149	rs1945975	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs798149	rs966367	10	40	17	33	0.485294	0.195936	1.201976	1.826484	0.176543
aa*bb_vs_other	rs798149	rs877309	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs798149	rs4331560	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs798149	rs10796216	15	35	25	25	0.428571	0.188665	0.973543	3.375	0.066193
aa*bb_vs_other	rs798149	rs1040870	11	39	19	31	0.460189	0.190938	1.109123	2.333333	0.12663
aa*bb_vs_other	rs798149	rs10936224	11	39	17	33	0.547511	0.225088	1.331784	1.240079	0.265456
aa*bb_vs_other	rs798149	rs213028	5	45	8	42	0.583333	0.176775	1.924923	0.353669	0.552043
aa*bb_vs_other	rs798149	rs654498	10	40	17	33	0.485294	0.195936	1.201976	1.826484	0.176543
aa*bb_vs_other	rs798149	rs13369115	1	49	2	48	0.489796	0.042979	5.581791	0	1
aa*bb_vs_other	rs798149	rs10033147	15	35	25	25	0.428571	0.188665	0.973543	3.375	0.066193
aa*bb_vs_other	rs798149	rs3936238	4	46	8	42	0.456522	0.128071	1.627322	0.852273	0.35591
aa*bb_vs_other	rs798149	rs1520670	15	35	25	25	0.428571	0.188665	0.973543	3.375	0.066193
aa*bb_vs_other	rs798149	rs6991394	11	39	16	34	0.599359	0.24493	1.466671	0.811771	0.367597
aa*bb_vs_other	rs798149	rs2208123	3	47	4	46	0.734043	0.155614	3.462529	0	1
aa*bb_vs_other	rs798149	rs10774834	11	39	17	33	0.547511	0.225088	1.331784	1.240079	0.265456
aa*bb_vs_other	rs798149	rs5936512	1	50	1	50	1	0.060844	16.43544	0.51	0.475139
aa*bb_vs_other	rs798149	rs6626309	1	49	2	48	0.489796	0.042979	5.581791	0	1
aa*bb_vs_other	rs798149	rs5987737	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs798149	rs715359	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs798149	rs2385226	3	47	4	46	0.734043	0.155614	3.462529	0	1
aa*bb_vs_other	rs798149	rs11034952	1	49	2	48	0.489796	0.042979	5.581791	0	1
aa*bb_vs_other	rs798149	rs1414097	12	38	21	29	0.43609	0.184856	1.028772	2.894618	0.088876
aa*bb_vs_other	rs798149	rs951295	1	50	1	49	0.98	0.059611	16.11124	0.490147	0.483862
aa*bb_vs_other	rs798149	rs10882854	5	45	8	42	0.583333	0.176775	1.924923	0.353669	0.552043
aa*bb_vs_other	rs798149	rs10846239	15	35	25	25	0.428571	0.188665	0.973543	3.375	0.066193
aa*bb_vs_other	rs798149	rs6471533	15	35	25	25	0.428571	0.188665	0.973543	3.375	0.066193
aa*bb_vs_other	rs798149	rs5926356	11	39	18	32	0.501424	0.207181	1.213561	1.748422	0.186075
aa*bb_vs_other	rs798149	rs5381179	10	40	16	34	0.53125	0.213233	1.323558	1.299376	0.254327
aa*bb_vs_other	rs798149	rs4836002	15	35	25	25	0.428571	0.188665	0.973543	3.375	0.066193
aa*bb_vs_other	rs798149	rs4290825	1	49	2	48	0.489796	0.042979	5.581791	0	1
aa*bb_vs_other	rs798149	rs3745648	15	35	25	25	0.428571	0.188665	0.973543	3.375	0.066193
aa*bb_vs_other	rs798149	rs3200471	15	35	25	25	0.428571	0.188665	0.973543	3.375	0.066193
aa*bb_vs_other	rs798149	rs2655294	15	35	25	25	0.428571	0.188665	0.973543	3.375	0.066193
